year,mean,sigma,mu3,skewness
1963,112722.55,239488.3651776894,6.1498261175751656e+16,4.477231786745612
1983,255399.02,578981.2503824139,8.894083343200497e+17,4.582555096273089
1989,320275.1,732893.9262833057,1.7340032042321477e+18,4.4048033864249785
1992,287795.15,672914.731239958,1.3941576603866565e+18,4.5754285926543306
1995,284937.86,651101.0950490105,1.2855674981279575e+18,4.657465072771689
1998,365908.21,883195.919520146,3.2797177831890616e+18,4.760639689284397
2001,492574.9,1248855.2716261295,9.335420986257291e+18,4.792891230458293
2004,507774.71,1255586.9805996795,9.38721819696894e+18,4.742381648845459
2007,582394.69,1528825.7321297266,1.719508900350146e+19,4.812053825977871
2010,484383.11,1255052.6595635794,8.822985047945853e+18,4.463028890781105
2013,485988.88,1338112.1852426855,1.1574742364926265e+19,4.830963503239146
2016,586413.12,1636699.2580168338,2.10394805580916e+19,4.798752559473319
